country,year,sex,iso2c,iso3c,region,capital,longitude,latitude,income,lending,lifexp,pop,primedu,smoke,unemployed,obese
Afghanistan,1975,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,39.293,6446271,NA,NA,NA,12892.542
Afghanistan,1975,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,41.064,6242889,NA,NA,NA,49943.112
Afghanistan,1976,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,39.874,6573732,NA,NA,NA,13147.464
Afghanistan,1976,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,41.656,6369361,NA,NA,NA,50954.888
Afghanistan,1977,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,40.473,6689150,1993707,NA,NA,13378.300000000001
Afghanistan,1977,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,42.265,6482156,357048,NA,NA,58339.40400000001
Afghanistan,1978,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,41.09,6776022,2198767,NA,NA,13552.044
Afghanistan,1978,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,42.894,6565176,417414,NA,NA,59086.58400000001
Afghanistan,1979,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,41.723,6813203,NA,NA,NA,20439.609
Afghanistan,1979,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,43.541,6597853,NA,NA,NA,65978.53
Afghanistan,1980,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,42.372,6788279,2918208,NA,NA,20364.837
Afghanistan,1980,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,44.209,6568232,594618,NA,NA,72250.55200000001
Afghanistan,1981,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,43.037,6698727,3463543,NA,NA,20096.181
Afghanistan,1981,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,44.899,6472946,830971,NA,NA,71202.406
Afghanistan,1982,Male,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,43.715,6557678,NA,NA,NA,19673.034
Afghanistan,1982,Female,AF,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA,45.607,6324850,NA,NA,NA,75898.2
